area,direction,homeName,homeUrl,location,postDate,price,roomContent
36,东南,整租·三里河北街5号院,https://bj.lianjia.com/zufang/BJ2246814708160274432.html,北京西城月坛,2019-05-30,6100,1室1厅
92,东/西,华业东方玫瑰C区,https://bj.lianjia.com/zufang/BJ2256952935185924096.html,北京通州临河里,2019-05-15,6300,2室1厅
54,南,整租·东恒时代三期,https://bj.lianjia.com/zufang/BJ2262191645712203776.html,北京朝阳十里堡,2019-05-22,6700,1室0厅
54,南,整租·牛街东里,https://bj.lianjia.com/zufang/BJ2265710746794983424.html,北京西城牛街,2019-05-29,6200,1室1厅
50,南/北,阜成门外北四巷,https://bj.lianjia.com/zufang/BJ2268608547313434624.html,北京西城阜成门,2019-05-31,8500,2室1厅
70,南/北,整租·交道口北二条35号院,https://bj.lianjia.com/zufang/BJ2223846961591885824.html,北京东城交道口,2019-03-30,8200,2室1厅
63,南/西,芳星园三区,https://bj.lianjia.com/zufang/BJ2251249488117104640.html,北京丰台方庄,2019-05-07,5900,2室1厅
48,东,整租·海晟名苑北区,https://bj.lianjia.com/zufang/BJ2259911123639730176.html,北京东城工体,2019-05-20,8200,1室0厅
143,西/北,整租·北京财富中心,https://bj.lianjia.com/zufang/BJ2204069645848420352.html,北京朝阳东大桥,2019-03-03,25000,3室1厅
70,南,整租·和平街十一区,https://bj.lianjia.com/zufang/BJ2217933973211332608.html,北京朝阳和平里,2019-05-20,8000,2室1厅
106,西南,前门西大街,https://bj.lianjia.com/zufang/BJ2231761520915136512.html,北京西城宣武门,2019-04-10,14500,3室1厅
121,南/北,整租·北京华侨城2号院,https://bj.lianjia.com/zufang/BJ2237687882858889216.html,北京朝阳欢乐谷,2019-04-20,13000,3室2厅
143,南/北,整租·当代名筑,https://bj.lianjia.com/zufang/BJ2243937232308412416.html,北京通州梨园,2019-04-27,6700,3室1厅
78,东北,整租·冠城名敦道,https://bj.lianjia.com/zufang/BJ2248429321356050432.html,北京东城广渠门,2019-05-03,11200,1室1厅
161,东/北,恒基中心,https://bj.lianjia.com/zufang/BJ2252102643826556928.html,北京东城建国门外,2019-05-08,19000,3室1厅
183,西南,整租·天畅园,https://bj.lianjia.com/zufang/BJ2254812240992026624.html,北京朝阳奥林匹克公园,2019-05-12,16000,3室1厅
78,西北,整租·大西洋新城E区,https://bj.lianjia.com/zufang/BJ2257149473166213120.html,北京朝阳望京,2019-05-15,13500,2室1厅
118,南,整租·UHN国际村,https://bj.lianjia.com/zufang/BJ2257136433309958144.html,北京朝阳三元桥,2019-05-15,14500,2室2厅-复式
126,南/北,整租·新华联家园南区,https://bj.lianjia.com/zufang/BJ2257126279612465152.html,北京通州果园,2019-05-15,7500,3室2厅
43,东南,点击未来,https://bj.lianjia.com/zufang/BJ2257103069223321600.html,北京朝阳望京,2019-05-17,6300,1室0厅
70,西北,整租·芳城园一区,https://bj.lianjia.com/zufang/BJ2257007323396710400.html,北京丰台方庄,2019-05-15,6400,1室1厅
58,北,整租·东方银座,https://bj.lianjia.com/zufang/BJ2257004232874409984.html,北京东城东直门,2019-05-18,9500,1室1厅
95,东南,整租·和谐雅园,https://bj.lianjia.com/zufang/BJ2256995666737758208.html,北京朝阳劲松,2019-05-17,10000,2室2厅
53,南/北,黄村西里,https://bj.lianjia.com/zufang/BJ2256963919471968256.html,北京大兴黄村中,2019-05-15,3600,2室1厅
77,西南,整租·永铁苑,https://bj.lianjia.com/zufang/BJ2256571142548488192.html,北京东城陶然亭,2019-05-14,7000,2室1厅
60,南/西/北,感化胡同14号院,https://bj.lianjia.com/zufang/BJ2256350829240401920.html,北京西城长椿街,2019-05-14,7900,3室1厅
173,南/北,整租·宝星园一区,https://bj.lianjia.com/zufang/BJ2256340613442043904.html,北京朝阳望京,2019-05-23,17000,4室2厅
64,南/北,整租·平原里小区,https://bj.lianjia.com/zufang/BJ2256300957942161408.html,北京西城牛街,2019-05-14,6800,2室1厅
49,西,整租·草园胡同,https://bj.lianjia.com/zufang/BJ2256278416838107136.html,北京东城东直门,2019-05-16,6200,1室1厅
275,东/西,嘉慧苑,https://bj.lianjia.com/zufang/BJ2256198293476614144.html,北京海淀紫竹桥,2019-05-14,25000,3室2厅-复式
50,南,南水关,https://bj.lianjia.com/zufang/BJ2255849502429167616.html,北京东城广渠门,2019-05-13,5800,1室1厅
52,南/北,整租·道家园,https://bj.lianjia.com/zufang/BJ2255813587786539008.html,北京朝阳甜水园,2019-05-22,5700,1室1厅
61,南/北,望花路西里,https://bj.lianjia.com/zufang/BJ2255704086873636864.html,北京朝阳望京,2019-05-13,7500,2室1厅
67,东,整租·华贸城,https://bj.lianjia.com/zufang/BJ2255618951000367104.html,北京朝阳北苑,2019-05-14,6800,1室1厅
53,东/西,整租·沿海赛洛城二期,https://bj.lianjia.com/zufang/BJ2255543913332867072.html,北京朝阳百子湾,2019-05-13,5900,1室1厅
63,东南,角门东里,https://bj.lianjia.com/zufang/BJ2255528445142908928.html,北京丰台角门,2019-05-13,6000,2室1厅
130,西,整租·远洋新干线,https://bj.lianjia.com/zufang/BJ2255524194509406208.html,北京朝阳燕莎,2019-05-17,16500,2室2厅
81,东南,整租·顶秀欣园东苑,https://bj.lianjia.com/zufang/BJ2255519678099365888.html,北京丰台宋家庄,2019-05-18,7000,2室1厅
60,南/北,整租·西青年沟,https://bj.lianjia.com/zufang/BJ2255148335915089920.html,北京东城安贞,2019-05-14,6900,2室1厅
82,东/西,整租·新里西斯莱公馆,https://bj.lianjia.com/zufang/BJ2255114048989298688.html,北京大兴高米店南,2019-05-12,5700,2室1厅
99,南/北,整租·新里西斯莱公馆,https://bj.lianjia.com/zufang/BJ2255070835385835520.html,北京大兴高米店南,2019-05-12,6500,2室1厅
183,东南,整租·万景公寓,https://bj.lianjia.com/zufang/BJ2254970056645541888.html,北京海淀紫竹桥,2019-05-12,15000,3室2厅
80,西北,通典铭居,https://bj.lianjia.com/zufang/BJ2254840878525333504.html,北京通州通州北苑,2019-05-12,5600,2室1厅
106,东南,整租·阳光100,https://bj.lianjia.com/zufang/BJ2254840412403941376.html,北京朝阳CBD,2019-05-12,14000,2室1厅
57,北,整租·远洋新干线,https://bj.lianjia.com/zufang/BJ2254819762167627776.html,北京朝阳燕莎,2019-05-12,9500,1室1厅
35,东,整租·炫特嘉园一期,https://bj.lianjia.com/zufang/BJ2254761403217362944.html,北京朝阳石佛营,2019-05-12,4900,1室0厅
155,东/南/北,整租·顺驰领海,https://bj.lianjia.com/zufang/BJ2254377730206875648.html,北京大兴黄村北,2019-05-11,7500,3室1厅
123,南/北,整租·丽都水岸,https://bj.lianjia.com/zufang/BJ2254336416463200256.html,北京朝阳酒仙桥,2019-05-11,17000,2室1厅
62,南/北,整租·八里庄北里小区,https://bj.lianjia.com/zufang/BJ2254236577750589440.html,北京朝阳石佛营,2019-05-12,5100,2室1厅
63,南/北,万源南里,https://bj.lianjia.com/zufang/BJ2254101091522723840.html,北京丰台旧宫,2019-05-11,3500,2室1厅
35,北,整租·富卓苑,https://bj.lianjia.com/zufang/BJ2254090860415426560.html,北京丰台马家堡,2019-05-11,4200,1室0厅
62,西北,万达广场公寓,https://bj.lianjia.com/zufang/BJ2254070883423625216.html,北京朝阳CBD,2019-05-11,13000,1室1厅
31,南,整租·清缘东里,https://bj.lianjia.com/zufang/BJ2254021236797472768.html,北京海淀清河,2019-05-11,4600,1室0厅-复式
54,南/北,太平街5号楼,https://bj.lianjia.com/zufang/BJ2253647972967653376.html,北京西城陶然亭,2019-05-10,7500,2室1厅
69,东/西,永乐东区,https://bj.lianjia.com/zufang/BJ2253639629247365120.html,北京石景山鲁谷,2019-05-10,4800,2室1厅
112,南/北,整租·益城园,https://bj.lianjia.com/zufang/BJ2253566088292352000.html,北京丰台马家堡,2019-05-10,8500,2室2厅
