area,direction,homeName,homeUrl,location,postDate,price,roomContent
134,东南,金沙湾三期海月园,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2267812646630211584.html,湛江赤坎区金沙湾片区,2019-05-30,3000,4室2厅
110,西南,一禾制药厂宿舍,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2266546872741543936.html,湛江霞山区鼎盛片区,2019-05-29,1500,3室2厅
88,北,运输集团宿舍（南桥南路38号）,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2240302874276143104.html,湛江赤坎区百园片区,2019-04-22,900,3室2厅
133,东南,启达世家,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2270217088842858496.html,湛江遂溪县遂溪县,2019-06-02,2800,3室2厅
119,东北,整租·遂城镇附城派出所,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2266352031122071552.html,湛江遂溪县遂溪县,2019-05-28,900,3室2厅
80,东南,明润城市花园,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2262985571566108672.html,湛江霞山区南站片区,2019-05-23,2200,2室2厅
276,东南,整租·碧桂园名门花园,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2215160059104083968.html,湛江霞山区鼎盛片区,2019-03-18,7800,6室2厅
85,南,荣盛中央广场,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2238982286731116544.html,湛江霞山区赤坎开发区,2019-04-20,3600,2室2厅
89,南,区府小区,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2262304905417203712.html,湛江霞山区国贸中心区,2019-05-22,1500,2室2厅
123,南,整租·美景国际广场,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2193236926033559552.html,湛江廉江市廉江市,2019-02-16,1600,3室2厅
110,东南,八一公寓,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2236219434748616704.html,湛江赤坎区金城片区,2019-04-16,1900,3室1厅
156,东南/南/北,金沙湾一期陶然居,https://zhanjiang.lianjia.com/zufang/UNKOWN2115552986175643648.html,湛江赤坎区金沙湾片区,2018-11-01,3000,5室2厅
125,南,西粤京基城一期,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2268167184830709760.html,湛江赤坎区京基片区,2019-05-30,4000,3室2厅
92,东南,万达广场,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2225886542583840768.html,湛江霞山区赤坎开发区,2019-04-02,3330,2室1厅
123,东,翠堤湾A区,https://zhanjiang.lianjia.com/zufang/UNKOWN2115553130837458944.html,湛江赤坎区金沙湾片区,2018-11-01,3200,4室2厅
148,南/北,金沙湾四期碧海园,https://zhanjiang.lianjia.com/zufang/UNKOWN2115553118808195072.html,湛江赤坎区金沙湾片区,2018-11-01,3900,3室2厅
160,东,鼎盛悦府,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2193545441688698880.html,湛江霞山区鼎盛片区,2019-02-16,4000,5室2厅
147,南/北,荣基花园,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2193349970671697920.html,湛江霞山区海滨片区,2019-02-16,4000,3室2厅
143,南,碧桂园名门花园,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2191905135125872640.html,湛江霞山区鼎盛片区,2019-02-14,3900,4室2厅
170,东北,绿溪西路55号,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2180400212588371968.html,湛江霞山区湿地公园片区,2019-01-29,5500,3室2厅
138,南,泰基商住区,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2175301429840060416.html,湛江霞山区南站片区,2019-01-22,2500,3室2厅
157,东南,富兴小区,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2175301402937794560.html,湛江霞山区东风片区,2019-01-22,3000,4室2厅
130,东南,华盛新城,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2174320308742258688.html,湛江赤坎区金城片区,2019-01-21,3200,3室2厅
132,南/北,金沙湾三期海月园,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2172933793802100736.html,湛江赤坎区金沙湾片区,2019-01-19,3000,4室2厅
136,南,幸福花苑,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2172157518569283584.html,湛江赤坎区百园片区,2019-01-18,2600,3室2厅
157,南/北,金沙湾三期海怡园,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2162949553081827328.html,湛江赤坎区金沙湾片区,2019-01-05,2600,3室2厅
110,南,银帆花园一期,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2162773196934217728.html,湛江霞山区新澳城市花园片区,2019-01-05,3600,3室2厅
126,东南,山湖海上城,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2162136937409028096.html,湛江遂溪县遂溪县,2019-01-22,2500,4室2厅
131,东南,海静小区,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2162134385594474496.html,湛江霞山区海滨片区,2019-01-22,2200,3室2厅
98,东南,万洲花园二期,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2153566263647928320.html,湛江霞山区国贸中心区,2018-12-23,2800,3室2厅
145,北,荣基花园,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2151922957922861056.html,湛江霞山区海滨片区,2018-12-21,4600,3室2厅
149,东南,碧瑞花园,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2150712579968729088.html,湛江赤坎区京基片区,2018-12-19,3500,4室2厅
128,南/北,滨海园,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2148489804261113856.html,湛江赤坎区金沙湾片区,2018-12-16,3800,3室2厅
146,东南,金沙湾三期海月园,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2148431332425351168.html,湛江赤坎区金沙湾片区,2018-12-16,3500,4室2厅
158,南,荣基花园,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2145418781168500736.html,湛江霞山区海滨片区,2018-12-12,6000,4室2厅
113,南,城市美林3区,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2144866782660263936.html,湛江霞山区新澳城市花园片区,2018-12-11,3300,3室2厅
83,南,鼎盛悦府,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2143214626022891520.html,湛江霞山区鼎盛片区,2018-12-09,3500,3室2厅
135,东,金沙湾三期海月园,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2138017795488104448.html,湛江赤坎区金沙湾片区,2018-12-02,2500,3室2厅
144,南,城市假日D区,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2134539337881632768.html,湛江霞山区城市假日片区,2018-11-27,5000,3室2厅
151,东南/南,富虹上游城,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2122940076244869120.html,湛江赤坎区百园片区,2018-11-11,3500,3室2厅
185,南,荣基国际广场,https://zhanjiang.lianjia.com/zufang/UNKOWN2115553372848529408.html,湛江霞山区海滨片区,2018-11-01,8500,1室1厅
89,南,鼎盛悦府,https://zhanjiang.lianjia.com/zufang/ZHANJIANG2120620750300774400.html,湛江霞山区鼎盛片区,2018-11-08,3500,3室2厅
145,东,金海湾一期,https://zhanjiang.lianjia.com/zufang/UNKOWN2115553334202482688.html,湛江赤坎区金城片区,2018-11-01,3100,3室2厅
114,南/北,工商局宿舍东园路25号,https://zhanjiang.lianjia.com/zufang/UNKOWN2115553219748044800.html,湛江赤坎区百园片区,2018-11-01,2000,4室2厅
166,东南,城市美林1区,https://zhanjiang.lianjia.com/zufang/UNKOWN2115553167579561984.html,湛江霞山区城市美林片区,2018-11-01,3800,5室2厅
142,东南,公园一号,https://zhanjiang.lianjia.com/zufang/UNKOWN2115553130392322048.html,湛江赤坎区赤坎开发区,2018-11-01,5500,4室2厅
